foreign_asset_id,foreign_asset_type,foreign_subtype,foreign_symbol,foreign_name_en,foreign_name_cn,foreign_exchange_code,foreign_exchange_name,foreign_country,foreign_currency,foreign_contract_unit,foreign_quote_unit,foreign_tick_size,underlying_group,sector,tradable,can_long,can_short,data_source,source_status,notes
FUT_LME_AH,FUTURE,COMMODITY_FUTURE,AH,LME Aluminum,LME铝,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,ALUMINUM,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_ZS,FUTURE,COMMODITY_FUTURE,ZS,LME Zinc,LME锌,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,ZINC,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_PB,FUTURE,COMMODITY_FUTURE,PB,LME Lead,LME铅,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,LEAD,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_NI,FUTURE,COMMODITY_FUTURE,NI,LME Nickel,LME镍,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,NICKEL,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_SN,FUTURE,COMMODITY_FUTURE,SN,LME Tin,LME锡,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,TIN,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_ALUMINA,FUTURE,COMMODITY_FUTURE,ALU,LME Alumina,LME氧化铝,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,ALUMINA,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_ALUMINA,FUTURE,COMMODITY_FUTURE,ALM,SGX Alumina,SGX氧化铝,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,ALUMINA,有色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_STEEL_SCRAP,FUTURE,COMMODITY_FUTURE,SCRAP,LME Steel Scrap,LME废钢,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,STAINLESS_STEEL,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_NYMEX_CL,FUTURE,COMMODITY_FUTURE,CL,NYMEX WTI Crude Oil,NYMEX WTI原油,NYMEX,NYMEX,US,USD,CHECK,CHECK,CHECK,CRUDE_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_B,FUTURE,COMMODITY_FUTURE,B,ICE Brent Crude Oil,ICE布伦特原油,ICE,ICE Futures Europe,UK,USD,CHECK,CHECK,CHECK,CRUDE_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_NYMEX_HO,FUTURE,COMMODITY_FUTURE,HO,NYMEX Heating Oil,NYMEX取暖油,NYMEX,NYMEX,US,USD,CHECK,CHECK,CHECK,FUEL_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_GASOIL,FUTURE,COMMODITY_FUTURE,G,ICE Gasoil,ICE柴油,ICE,ICE Futures Europe,UK,USD,CHECK,CHECK,CHECK,FUEL_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_FO380,FUTURE,COMMODITY_FUTURE,FO380,Singapore Fuel Oil 380cst,新加坡380燃料油,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,FUEL_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_LSGO,FUTURE,COMMODITY_FUTURE,LSGO,ICE Low Sulphur Gasoil,ICE低硫柴油,ICE,ICE Futures Europe,UK,USD,CHECK,CHECK,CHECK,LOW_SULFUR_FUEL_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_BUNKER,FUTURE,COMMODITY_FUTURE,BUNKER,Singapore Marine Fuel,新加坡船燃,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,LOW_SULFUR_FUEL_OIL,能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_NYMEX_ASPHALT,INDEX,REFERENCE_INDEX,ASPHALT,NYMEX Asphalt Reference,NYMEX沥青参考,NYMEX,NYMEX,US,USD,CHECK,CHECK,CHECK,BITUMEN,能源,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_FE,FUTURE,COMMODITY_FUTURE,FE,SGX Iron Ore,SGX铁矿石,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,IRON_ORE,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_TIO,FUTURE,COMMODITY_FUTURE,TIO,CME Iron Ore,CME铁矿石,CME,CME,US,USD,CHECK,CHECK,CHECK,IRON_ORE,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_COKING_COAL,FUTURE,COMMODITY_FUTURE,CC,SGX Coking Coal,SGX焦煤,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,COKING_COAL,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_COKE,FUTURE,COMMODITY_FUTURE,COKE,SGX Coke Reference,SGX焦炭参考,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,COKE,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_REBAR,FUTURE,COMMODITY_FUTURE,SRR,LME Steel Rebar,LME螺纹钢,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,REBAR,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SGX_REBAR,FUTURE,COMMODITY_FUTURE,REBAR,SGX Steel Rebar,SGX螺纹钢,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,REBAR,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_HRC,FUTURE,COMMODITY_FUTURE,HRC,CME Hot-Rolled Coil Steel,CME热卷,CME,CME,US,USD,CHECK,CHECK,CHECK,HOT_ROLLED_COIL,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_HRC,FUTURE,COMMODITY_FUTURE,HRC,LME HRC Steel,LME热卷,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,HOT_ROLLED_COIL,黑色,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_SGX_FERROSILICON,INDEX,REFERENCE_INDEX,FeSi,SGX Ferrosilicon Reference,SGX硅铁参考,SGX,Singapore Exchange,SG,USD,CHECK,CHECK,CHECK,FERROSILICON,黑色,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_GLOBAL_SILICOMANGANESE,INDEX,REFERENCE_INDEX,SiMn,Global Silicomanganese Index,全球硅锰指数,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,SILICOMANGANESE,黑色,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZS,FUTURE,COMMODITY_FUTURE,ZS,CBOT Soybeans,CBOT大豆,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,SOYBEAN,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZM,FUTURE,COMMODITY_FUTURE,ZM,CBOT Soybean Meal,CBOT豆粕,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,SOYBEAN_MEAL,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZL,FUTURE,COMMODITY_FUTURE,ZL,CBOT Soybean Oil,CBOT豆油,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,SOYBEAN_OIL,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZC,FUTURE,COMMODITY_FUTURE,ZC,CBOT Corn,CBOT玉米,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,CORN,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZW,FUTURE,COMMODITY_FUTURE,ZW,CBOT Wheat,CBOT小麦,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,COMMON_WHEAT,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_KCBT_KE,FUTURE,COMMODITY_FUTURE,KE,KCBT Hard Red Winter Wheat,KCBT硬红冬麦,KCBT,Kansas City Board of Trade,US,USD,CHECK,CHECK,CHECK,HARD_WHEAT,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CBOT_ZW_STRONG,FUTURE,COMMODITY_FUTURE,ZW,CBOT Wheat,CBOT小麦,CBOT,CBOT,US,USD,CHECK,CHECK,CHECK,STRONG_WHEAT,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_BMD_FCPO,FUTURE,COMMODITY_FUTURE,FCPO,BMD Crude Palm Oil,BMD棕榈油,BMD,Bursa Malaysia Derivatives,MY,MYR,CHECK,CHECK,CHECK,PALM_OIL,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_SB,FUTURE,COMMODITY_FUTURE,SB,ICE Raw Sugar No.11,ICE原糖11号,ICE,ICE Futures US,US,USD,CHECK,CHECK,CHECK,SUGAR,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_CT,FUTURE,COMMODITY_FUTURE,CT,ICE Cotton No.2,ICE棉花2号,ICE,ICE Futures US,US,USD,CHECK,CHECK,CHECK,COTTON,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_KC,FUTURE,COMMODITY_FUTURE,KC,ICE Coffee,ICE咖啡,ICE,ICE Futures US,US,USD,CHECK,CHECK,CHECK,COFFEE,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_CC,FUTURE,COMMODITY_FUTURE,CC,ICE Cocoa,ICE可可,ICE,ICE Futures US,US,USD,CHECK,CHECK,CHECK,COCOA,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_HE,FUTURE,COMMODITY_FUTURE,HE,CME Lean Hogs,CME瘦肉猪,CME,CME,US,USD,CHECK,CHECK,CHECK,LIVE_HOG,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_GLOBAL_EGG,INDEX,REFERENCE_INDEX,EGG,Global Egg Reference,全球鸡蛋参考,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,EGG,农产品,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_OILSEED_PEANUT,INDEX,REFERENCE_INDEX,PEANUT,Oilseed Peanut Reference,油籽花生参考,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,PEANUT,农产品,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_CANOLA,FUTURE,COMMODITY_FUTURE,RS,ICE Canola,ICE油菜籽,ICE,ICE Futures Canada,CA,CAD,CHECK,CHECK,CHECK,RAPESEED,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_MATIF_RAPESEED,FUTURE,COMMODITY_FUTURE,RAP,MATIF Rapeseed,MATIF油菜籽,MATIF,Euronext MATIF,FR,EUR,CHECK,CHECK,CHECK,RAPESEED,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_CANOLA_OIL,FUTURE,COMMODITY_FUTURE,RSO,Canola Oil Reference,菜籽油参考,ICE,ICE Futures Canada,CA,CAD,CHECK,CHECK,CHECK,RAPESEED_OIL,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_ICE_CANOLA_MEAL,FUTURE,COMMODITY_FUTURE,RSM,Canola Meal Reference,菜粕参考,ICE,ICE Futures Canada,CA,CAD,CHECK,CHECK,CHECK,RAPESEED_MEAL,农产品,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_PX,INDEX,REFERENCE_INDEX,PX,Asia Paraxylene Index,亚洲PX指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,PARAXYLENE,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_PTA,INDEX,REFERENCE_INDEX,PTA,Asia PTA Reference,亚洲PTA参考,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,PTA,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_GLOBAL_METHANOL,INDEX,REFERENCE_INDEX,MEOH,Methanol Reference,甲醇参考,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,METHANOL,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_CME_LLDPE,INDEX,REFERENCE_INDEX,LLDPE,CME LLDPE Reference,CME线性低密度聚乙烯参考,CME,CME,US,USD,CHECK,CHECK,CHECK,LLDPE,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_PVC,INDEX,REFERENCE_INDEX,PVC,Asia PVC Index,亚洲PVC指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,PVC,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_PP,INDEX,REFERENCE_INDEX,PP,Asia Polypropylene Index,亚洲PP指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,POLYPROPYLENE,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_MEG,INDEX,REFERENCE_INDEX,MEG,Asia MEG Index,亚洲乙二醇指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,ETHYLENE_GLYCOL,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_STYRENE,INDEX,REFERENCE_INDEX,SM,Asia Styrene Index,亚洲苯乙烯指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,STYRENE,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_OSE_RSS3,FUTURE,COMMODITY_FUTURE,RSS3,OSE Rubber RSS3,OSE橡胶RSS3,OSE,Osaka Exchange,JP,JPY,CHECK,CHECK,CHECK,RUBBER,化工,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_SICOM_TSR20,FUTURE,COMMODITY_FUTURE,TSR20,SICOM TSR20 Rubber,SICOM TSR20橡胶,SICOM,Singapore Commodity Exchange,SG,USD,CHECK,CHECK,CHECK,RUBBER,化工,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_ASIA_BUTADIENE_RUBBER,INDEX,REFERENCE_INDEX,BR,Asia Butadiene Rubber Index,亚洲丁二烯橡胶指数,ASIA,Asia Reference,GLOBAL,USD,CHECK,CHECK,CHECK,BUTADIENE_RUBBER,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_CME_PULP,INDEX,REFERENCE_INDEX,PULP,CME Pulp Reference,CME纸浆参考,CME,CME,US,USD,CHECK,CHECK,CHECK,PULP,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_CME_UREA,INDEX,REFERENCE_INDEX,UREA,CME Urea Reference,CME尿素参考,CME,CME,US,USD,CHECK,CHECK,CHECK,UREA,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_GLOBAL_SODA_ASH,INDEX,REFERENCE_INDEX,SODA,International Soda Ash Index,国际纯碱指数,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,SODA_ASH,化工,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
REF_GLOBAL_GLASS,INDEX,REFERENCE_INDEX,GLASS,Global Glass Reference,全球玻璃参考,GLOBAL,Global Reference,GLOBAL,USD,CHECK,CHECK,CHECK,GLASS,建材,N,N,N,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_CME_LITHIUM_HYDROXIDE,FUTURE,COMMODITY_FUTURE,LTH,CME Lithium Hydroxide,CME氢氧化锂,CME,CME,US,USD,CHECK,CHECK,CHECK,LITHIUM_CARBONATE,新能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
FUT_LME_LITHIUM_HYDROXIDE,FUTURE,COMMODITY_FUTURE,LITH,LME Lithium Hydroxide,LME氢氧化锂,LME,London Metal Exchange,UK,USD,CHECK,CHECK,CHECK,LITHIUM_CARBONATE,新能源,Y,Y,Y,STEP7_BUILT_IN_MANUAL_RULES,MANUAL_RULE_CANDIDATE_NEED_REVIEW,该国外资产为内置规则候选，后续可用交易所官网或数据源复核。
