mapping_id,domestic_asset_id,foreign_asset_id,domestic_symbol,foreign_symbol,domestic_name,foreign_name,domestic_asset_type,foreign_asset_type,domestic_exchange,foreign_exchange,domestic_country,foreign_country,underlying_group,currency_domestic,currency_foreign,unit_domestic,unit_foreign,unit_conversion,fx_conversion_needed,trading_hour_overlap,relation_type,strategy_type,direction_supported,mapping_confidence,data_source,source_status,notes
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AL_FUT_LME_AH,FUT_SHFE_AL,FUT_LME_AH,AL,AH,沪铝,LME铝,FUTURE,FUTURE,SHFE,LME,CN,UK,ALUMINUM,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_ZN_FUT_LME_ZS,FUT_SHFE_ZN,FUT_LME_ZS,ZN,ZS,沪锌,LME锌,FUTURE,FUTURE,SHFE,LME,CN,UK,ZINC,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_PB_FUT_LME_PB,FUT_SHFE_PB,FUT_LME_PB,PB,PB,沪铅,LME铅,FUTURE,FUTURE,SHFE,LME,CN,UK,LEAD,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_NI_FUT_LME_NI,FUT_SHFE_NI,FUT_LME_NI,NI,NI,沪镍,LME镍,FUTURE,FUTURE,SHFE,LME,CN,UK,NICKEL,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_SN_FUT_LME_SN,FUT_SHFE_SN,FUT_LME_SN,SN,SN,沪锡,LME锡,FUTURE,FUTURE,SHFE,LME,CN,UK,TIN,CNY,USD,CHECK,CHECK,metric_ton_to_lme_lot_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AO_FUT_LME_ALUMINA,FUT_SHFE_AO,FUT_LME_ALUMINA,AO,ALU,氧化铝,LME氧化铝,FUTURE,FUTURE,SHFE,LME,CN,UK,ALUMINA,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_AO_FUT_SGX_ALUMINA,FUT_SHFE_AO,FUT_SGX_ALUMINA,AO,ALM,氧化铝,SGX氧化铝,FUTURE,FUTURE,SHFE,SGX,CN,SG,ALUMINA,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_SHFE_SS_FUT_LME_STEEL_SCRAP,FUT_SHFE_SS,FUT_LME_STEEL_SCRAP,SS,SCRAP,不锈钢,LME废钢,FUTURE,FUTURE,SHFE,LME,CN,UK,STAINLESS_STEEL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,REFERENCE_ONLY,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_INE_SC_FUT_NYMEX_CL,FUT_INE_SC,FUT_NYMEX_CL,SC,CL,原油,NYMEX WTI原油,FUTURE,FUTURE,INE,NYMEX,CN,US,CRUDE_OIL,CNY,USD,CHECK,CHECK,barrel_to_metric_ton_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_INE_SC_FUT_ICE_B,FUT_INE_SC,FUT_ICE_B,SC,B,原油,ICE布伦特原油,FUTURE,FUTURE,INE,ICE,CN,UK,CRUDE_OIL,CNY,USD,CHECK,CHECK,barrel_to_metric_ton_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_SHFE_FU_FUT_NYMEX_HO,FUT_SHFE_FU,FUT_NYMEX_HO,FU,HO,燃油,NYMEX取暖油,FUTURE,FUTURE,SHFE,NYMEX,CN,US,FUEL_OIL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_SHFE_FU_FUT_ICE_GASOIL,FUT_SHFE_FU,FUT_ICE_GASOIL,FU,G,燃油,ICE柴油,FUTURE,FUTURE,SHFE,ICE,CN,UK,FUEL_OIL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_SHFE_FU_FUT_SGX_FO380,FUT_SHFE_FU,FUT_SGX_FO380,FU,FO380,燃油,新加坡380燃料油,FUTURE,FUTURE,SHFE,SGX,CN,SG,FUEL_OIL,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_INE_LU_FUT_ICE_LSGO,FUT_INE_LU,FUT_ICE_LSGO,LU,LSGO,低硫燃料油,ICE低硫柴油,FUTURE,FUTURE,INE,ICE,CN,UK,LOW_SULFUR_FUEL_OIL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_INE_LU_FUT_SGX_BUNKER,FUT_INE_LU,FUT_SGX_BUNKER,LU,BUNKER,低硫燃料油,新加坡船燃,FUTURE,FUTURE,INE,SGX,CN,SG,LOW_SULFUR_FUEL_OIL,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_SHFE_BU_REF_NYMEX_ASPHALT,FUT_SHFE_BU,REF_NYMEX_ASPHALT,BU,ASPHALT,沥青,NYMEX沥青参考,FUTURE,INDEX,SHFE,NYMEX,CN,US,BITUMEN,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,REFERENCE_ONLY,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_DCE_I_FUT_SGX_FE,FUT_DCE_I,FUT_SGX_FE,I,FE,铁矿石,SGX铁矿石,FUTURE,FUTURE,DCE,SGX,CN,SG,IRON_ORE,CNY,USD,CHECK,CHECK,metric_ton_conversion_needed,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_DCE_I_FUT_CME_TIO,FUT_DCE_I,FUT_CME_TIO,I,TIO,铁矿石,CME铁矿石,FUTURE,FUTURE,DCE,CME,CN,US,IRON_ORE,CNY,USD,CHECK,CHECK,metric_ton_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_DCE_JM_FUT_SGX_COKING_COAL,FUT_DCE_JM,FUT_SGX_COKING_COAL,JM,CC,焦煤,SGX焦煤,FUTURE,FUTURE,DCE,SGX,CN,SG,COKING_COAL,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_DCE_J_FUT_SGX_COKE,FUT_DCE_J,FUT_SGX_COKE,J,COKE,焦炭,SGX焦炭参考,FUTURE,FUTURE,DCE,SGX,CN,SG,COKE,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,REFERENCE_ONLY,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_RB_FUT_LME_REBAR,FUT_SHFE_RB,FUT_LME_REBAR,RB,SRR,螺纹钢,LME螺纹钢,FUTURE,FUTURE,SHFE,LME,CN,UK,REBAR,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_RB_FUT_SGX_REBAR,FUT_SHFE_RB,FUT_SGX_REBAR,RB,REBAR,螺纹钢,SGX螺纹钢,FUTURE,FUTURE,SHFE,SGX,CN,SG,REBAR,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_HC_FUT_CME_HRC,FUT_SHFE_HC,FUT_CME_HRC,HC,HRC,热轧卷板,CME热卷,FUTURE,FUTURE,SHFE,CME,CN,US,HOT_ROLLED_COIL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_SHFE_HC_FUT_LME_HRC,FUT_SHFE_HC,FUT_LME_HRC,HC,HRC,热轧卷板,LME热卷,FUTURE,FUTURE,SHFE,LME,CN,UK,HOT_ROLLED_COIL,CNY,USD,CHECK,CHECK,CHECK,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,MEDIUM,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_CZCE_SF_REF_SGX_FERROSILICON,FUT_CZCE_SF,REF_SGX_FERROSILICON,SF,FeSi,硅铁,SGX硅铁参考,FUTURE,INDEX,CZCE,SGX,CN,SG,FERROSILICON,CNY,USD,CHECK,CHECK,CHECK,Y,PARTIAL_ASIA_HOURS_OVERLAP,DOMESTIC_FOREIGN_RELATED_UNDERLYING,REFERENCE_ONLY,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_RELATED_UNDERLYING_FUT_CZCE_SM_REF_GLOBAL_SILICOMANGANESE,FUT_CZCE_SM,REF_GLOBAL_SILICOMANGANESE,SM,SiMn,锰硅,全球硅锰指数,FUTURE,INDEX,CZCE,GLOBAL,CN,GLOBAL,SILICOMANGANESE,CNY,USD,CHECK,CHECK,CHECK,Y,CHECK,DOMESTIC_FOREIGN_RELATED_UNDERLYING,REFERENCE_ONLY,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,LOW,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
DOMESTIC_FOREIGN_SAME_UNDERLYING_FUT_DCE_A_FUT_CBOT_ZS,FUT_DCE_A,FUT_CBOT_ZS,A,ZS,豆一,CBOT大豆,FUTURE,FUTURE,DCE,CBOT,CN,US,SOYBEAN,CNY,USD,CHECK,CHECK,bushel_to_metric_ton_conversion_needed,Y,LIMITED_OR_NIGHT_SESSION_OVERLAP,DOMESTIC_FOREIGN_SAME_UNDERLYING,INTERNATIONAL_ARBITRAGE,BIDIRECTIONAL_WITH_FX_AND_HOURS_CONSTRAINT,HIGH,STEP7_BUILT_IN_MANUAL_RULES,FOREIGN_MAPPING_CANDIDATE_NEED_REVIEW,基于内置规则生成，单位换算、汇率换算和交易时间重叠需后续细化。
