chain_id,industry_name,chain_segment,asset_id_a,asset_id_b,symbol_a,symbol_b,name_a,name_b,asset_type_a,asset_type_b,exchange_a,exchange_b,underlying_group_a,underlying_group_b,relation_direction,relation_type,relation_strength,strategy_type,mapping_confidence,tradable_check,direction_supported,long_short_note,data_source,source_status,notes
CHAIN_NONFERROUS_005,有色产业链,RELATED,FUT_SHFE_NI,FUT_SHFE_SS,NI,SS,沪镍,不锈钢,FUTURE,FUTURE,SHFE,SHFE,NICKEL,STAINLESS_STEEL,BIDIRECTIONAL,COST_DRIVEN,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,NICKEL 与 STAINLESS_STEEL 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_006,有色产业链,RELATED,FUT_SHFE_SN,FUT_INE_BC,SN,BC,沪锡,国际铜,FUTURE,FUTURE,SHFE,INE,TIN,COPPER,BIDIRECTIONAL,SAME_SECTOR_RELATED,LOW,SPREAD_RELATED,LOW,BOTH_TRADABLE,BIDIRECTIONAL,TIN 与 COPPER 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_001,贵金属,SUBSTITUTE,FUT_SHFE_AU,FUT_SHFE_AG,AU,AG,沪金,沪银,FUTURE,FUTURE,SHFE,SHFE,GOLD,SILVER,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,GOLD 与 SILVER 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_002,贵金属,SUBSTITUTE,FUT_GFEX_PD,FUT_GFEX_PT,PD,PT,钯,铂,FUTURE,FUTURE,GFEX,GFEX,PALLADIUM,PLATINUM,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,PALLADIUM 与 PLATINUM 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_003,贵金属,RELATED,FUT_SHFE_AU,FUT_GFEX_PT,AU,PT,沪金,铂,FUTURE,FUTURE,SHFE,GFEX,GOLD,PLATINUM,BIDIRECTIONAL,SAME_SECTOR_RELATED,MEDIUM,SPREAD_RELATED,MEDIUM,BOTH_TRADABLE,BIDIRECTIONAL,GOLD 与 PLATINUM 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_001,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_SHFE_FU,SC,FU,原油,燃油,FUTURE,FUTURE,INE,SHFE,CRUDE_OIL,FUEL_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> FUEL_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_002,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_INE_LU,SC,LU,原油,低硫燃料油,FUTURE,FUTURE,INE,INE,CRUDE_OIL,LOW_SULFUR_FUEL_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> LOW_SULFUR_FUEL_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_003,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_SHFE_BU,SC,BU,原油,沥青,FUTURE,FUTURE,INE,SHFE,CRUDE_OIL,BITUMEN,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> BITUMEN 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_004,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_CZCE_TA,SC,TA,原油,PTA,FUTURE,FUTURE,INE,CZCE,CRUDE_OIL,PTA,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> PTA 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_005,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_L,SC,L,原油,塑料,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,LLDPE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> LLDPE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_006,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_PP,SC,PP,原油,聚丙烯,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,POLYPROPYLENE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> POLYPROPYLENE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_007,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_V,SC,V,原油,PVC,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,PVC,A_TO_B,COST_DRIVEN,LOW,CHAIN_RELATED,LOW,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> PVC 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_008,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_PX,FUT_CZCE_TA,PX,TA,对二甲苯,PTA,FUTURE,FUTURE,CZCE,CZCE,PARAXYLENE,PTA,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PARAXYLENE -> PTA 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_009,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_TA,FUT_CZCE_PF,TA,PF,PTA,短纤,FUTURE,FUTURE,CZCE,CZCE,PTA,POLYESTER_STAPLE_FIBER,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PTA -> POLYESTER_STAPLE_FIBER 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_010,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_TA,FUT_CZCE_PR,TA,PR,PTA,瓶片,FUTURE,FUTURE,CZCE,CZCE,PTA,BOTTLE_GRADE_PET,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PTA -> BOTTLE_GRADE_PET 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_011,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_EG,FUT_CZCE_PF,EG,PF,乙二醇,短纤,FUTURE,FUTURE,DCE,CZCE,ETHYLENE_GLYCOL,POLYESTER_STAPLE_FIBER,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,ETHYLENE_GLYCOL -> POLYESTER_STAPLE_FIBER 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_012,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_EB,FUT_DCE_BZ,EB,BZ,苯乙烯,纯苯,FUTURE,FUTURE,DCE,DCE,STYRENE,BENZENE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,STYRENE -> BENZENE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_013,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_MA,FUT_DCE_PP,MA,PP,甲醇,聚丙烯,FUTURE,FUTURE,CZCE,DCE,METHANOL,POLYPROPYLENE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,METHANOL -> POLYPROPYLENE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_014,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_SA,FUT_CZCE_FG,SA,FG,纯碱,玻璃,FUTURE,FUTURE,CZCE,CZCE,SODA_ASH,GLASS,A_TO_B,COST_DRIVEN,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,SODA_ASH -> GLASS 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_015,能源化工,RELATED,FUT_CZCE_SH,FUT_DCE_V,SH,V,烧碱,PVC,FUTURE,FUTURE,CZCE,DCE,CAUSTIC_SODA,PVC,BIDIRECTIONAL,SAME_SECTOR_RELATED,MEDIUM,SPREAD_RELATED,MEDIUM,BOTH_TRADABLE,BIDIRECTIONAL,CAUSTIC_SODA 与 PVC 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_016,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_SHFE_SP,FUT_SHFE_OP,SP,OP,纸浆,双胶纸,FUTURE,FUTURE,SHFE,SHFE,PULP,OFFSET_PAPER,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PULP -> OFFSET_PAPER 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_001,油脂油料,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_A,FUT_DCE_M,A,M,豆一,豆粕,FUTURE,FUTURE,DCE,DCE,SOYBEAN,SOYBEAN_MEAL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,SOYBEAN -> SOYBEAN_MEAL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_002,油脂油料,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_A,FUT_DCE_Y,A,Y,豆一,豆油,FUTURE,FUTURE,DCE,DCE,SOYBEAN,SOYBEAN_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,SOYBEAN -> SOYBEAN_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_003,油脂油料,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_RS,FUT_CZCE_RM,RS,RM,菜籽,菜粕,FUTURE,FUTURE,CZCE,CZCE,RAPESEED,RAPESEED_MEAL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,RAPESEED -> RAPESEED_MEAL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_004,油脂油料,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_RS,FUT_CZCE_OI,RS,OI,菜籽,菜油,FUTURE,FUTURE,CZCE,CZCE,RAPESEED,RAPESEED_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,RAPESEED -> RAPESEED_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_005,油脂油料,SUBSTITUTE,FUT_DCE_Y,FUT_DCE_P,Y,P,豆油,棕榈油,FUTURE,FUTURE,DCE,DCE,SOYBEAN_OIL,PALM_OIL,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,SOYBEAN_OIL 与 PALM_OIL 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_OILSEED_006,油脂油料,SUBSTITUTE,FUT_DCE_M,FUT_CZCE_RM,M,RM,豆粕,菜粕,FUTURE,FUTURE,DCE,CZCE,SOYBEAN_MEAL,RAPESEED_MEAL,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,SOYBEAN_MEAL 与 RAPESEED_MEAL 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
