品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CFFEX,中国金融期货交易所,IM,IM,50,高,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IM,中证期货,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IM,中证期货下季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IM,中证期货当季连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IM,中证期货当月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,IM,中证期货次月连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,CF,棉花主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,CF,郑棉,148,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,CF,郑棉连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,MA,甲醇,144,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,MA,甲醇主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,MA,甲醇连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,OI,菜油,84,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,OI,菜油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,OI,菜油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RM,菜粕,99,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RM,菜粕主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RM,菜粕连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖,127,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA,244,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一,171,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二,188,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米,135,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕,204,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油,233,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油,170,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油,77,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶,88,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油,113,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,沪银,177,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,沪银连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,白银主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝,385,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,沪金,224,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,沪金连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,黄金主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜,385,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油,255,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板,155,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍,143,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅,189,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢,213,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RU,橡胶,323,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RU,橡胶主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RU,橡胶连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡,143,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SN,沪锡连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌,239,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,ZN,沪锌连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,CF,棉花期权,388,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,MA,甲醇期权,879,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,OI,菜籽油期权,338,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,RM,菜粕期权,502,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,SR,白糖期权,232,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,SR,白糖系列期权,146,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,CZCE,郑州商品交易所,TA,PTA期权,787,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,A,豆一期权,334,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,B,豆二期权,539,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,C,玉米期权,402,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,C,玉米系列期权,176,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,M,豆粕期权,274,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,M,豆粕系列期权,60,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,P,棕榈油期权,750,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,DCE,大连商品交易所,Y,豆油期权,422,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,INE,上海国际能源交易中心,NR,20号胶期权,112,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,INE,上海国际能源交易中心,SC,原油期权,4814,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AG,白银期权,3615,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AL,铝期权,761,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,AU,黄金期权,1464,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,CU,铜期权,651,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,FU,燃料油期权,820,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,NI,镍期权,495,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,PB,铅期权,312,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,RB,螺纹钢期权,269,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,RU,天然橡胶期权,336,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,SN,锡期权,597,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
OPTION,SHFE,上海期货交易所,ZN,锌期权,450,高,,,,,,,美式,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
